,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
0,0,N1,Sp020,0.163,-1751.813505,-1751.80239,-0.01111500000001797162,0.0101008,0.160491,0.11725924999999998,0.160491,0.16244838,0.160491
0,1,N1,Sp015,0.093,-1751.813787,-1751.80239,-0.01139699999998811109,0.0101008,0.160491,0.11725924999999998,0.160491,0.16244838,0.160491
1,0,Sp020,N1,0.095,-1751.813816,-1751.80239,-0.01142600000002857996,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,1,Sp020,Sp015,0.094,-1751.813514,-1751.80239,-0.01112399999988156196,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,2,Sp020,N4,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,3,Sp020,N5,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,4,Sp020,N6,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,5,Sp020,N7,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,6,Sp020,N8,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,7,Sp020,Sp009,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,8,Sp020,N10,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,9,Sp020,N11,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,10,Sp020,Sp018,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,11,Sp020,N13,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,12,Sp020,N14,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,13,Sp020,N15,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,14,Sp020,N16,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,15,Sp020,N17,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,16,Sp020,N18,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,17,Sp020,Sp013,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,18,Sp020,Sp017,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,19,Sp020,Sp014,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,20,Sp020,Sp011,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,21,Sp020,Sp004,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,22,Sp020,N24,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,23,Sp020,Sp005,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,24,Sp020,N26,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,25,Sp020,Sp008,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,26,Sp020,N28,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,27,Sp020,Sp002,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,28,Sp020,Sp019,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,29,Sp020,Sp016,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,30,Sp020,Sp010,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,31,Sp020,Sp003,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,32,Sp020,Sp007,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,33,Sp020,Sp006,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,34,Sp020,N36,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,35,Sp020,Sp000,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,36,Sp020,Sp012,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
1,37,Sp020,Sp001,no ll opt_no time,,-1751.80239,nan,0.160491,0.160491,0.160491,0.160491,0.11921662999999999,0.043399
2,0,Sp015,N1,0.104,-1751.815199,-1751.80239,-0.01280899999983375892,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,1,Sp015,Sp020,0.104,-1751.813488,-1751.80239,-0.01109799999994720565,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
