,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
0,0,N1,Sp020,0.163,-1751.813505,-1751.80239,-0.01111500000001797162,0.16244838,0.16244838,0.16244838,0.16244838,0.0,0.0,2.0,0.1705918,0.0101008
0,1,N1,Sp015,0.093,-1751.813787,-1751.80239,-0.01139699999998811109,0.16244838,0.16244838,0.16244838,0.16244838,0.0,0.0,2.0,0.01205818,0.0101008
1,0,Sp020,N1,0.095,-1751.813816,-1751.80239,-0.01142600000002857996,0.01205818,0.043399,0.11921662999999993,0.01205818,0.0,0.0,3.0,0.1705918,0.160491
1,1,Sp020,Sp015,0.094,-1751.813514,-1751.80239,-0.01112399999988156196,0.01205818,0.043399,0.012058179999999932,0.01205818,0.10715845,0.043399,3.0,0.16244838,0.160491
1,2,Sp020,N4,no ll opt_no time,,-1751.80239,nan,0.0051809,0.043399,0.09164941999999993,0.01205818,0.02756721,0.01205818,4.0,0.1757727,0.160491
1,3,Sp020,N5,no ll opt_no time,,-1751.80239,nan,0.00374005,0.043399,0.11921662999999993,0.00374005,0.0,0.0,4.0,0.17921742,0.160491
1,4,Sp020,N6,no ll opt_no time,,-1751.80239,nan,0.00345792,0.043399,0.06682363999999993,0.01205818,0.05239299,0.01205818,5.0,0.17923062,0.160491
1,5,Sp020,N7,no ll opt_no time,,-1751.80239,nan,0.012024,0.043399,0.11921586999999993,0.012024,7.6e-07,7.5e-07,5.0,0.17577285,0.160491
1,6,Sp020,N8,no ll opt_no time,,-1751.80239,nan,7e-08,0.043399,0.11921639999999993,0.00314281,2.3000000000000002e-07,1.1e-07,5.0,0.17921757,0.160491
1,7,Sp020,Sp009,no ll opt_no time,,-1751.80239,nan,0.00374005,0.043399,0.0037400499999999254,0.00374005,0.11547658000000001,0.043399,5.0,0.18295746999999998,0.160491
1,8,Sp020,N10,no ll opt_no time,,-1751.80239,nan,2e-07,0.043399,0.046528809999999934,0.043399,0.07268782,0.01205818,6.0,0.17923082,0.160491
1,9,Sp020,N11,no ll opt_no time,,-1751.80239,nan,0.00844103,0.043399,0.11921662999999993,0.00844103,0.0,0.0,6.0,0.18257241,0.160491
1,10,Sp020,Sp018,no ll opt_no time,,-1751.80239,nan,0.00761997,0.043399,0.00761996999999992,0.00761997,0.11159666000000001,0.043399,6.0,0.18339282,0.160491
1,11,Sp020,N13,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,7.5e-07,0.0,0.0,6.0,0.18779685000000002,0.160491
1,12,Sp020,N14,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,0.00314281,0.0,0.0,6.0,0.17921766,0.160491
1,13,Sp020,N15,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,1.1e-07,0.0,0.0,6.0,0.17921764,0.160491
1,14,Sp020,N16,no ll opt_no time,,-1751.80239,nan,8e-08,0.043399,0.001484509999999939,0.043399,0.11773212,0.043399,7.0,0.1792309,0.160491
1,15,Sp020,N17,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,0.043399,0.0,0.0,7.0,0.17923136,0.160491
1,16,Sp020,N18,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,1e-08,0.0,0.0,7.0,0.18762647999999998,0.160491
1,17,Sp020,Sp013,no ll opt_no time,,-1751.80239,nan,0.00844103,0.043399,0.008441029999999933,0.00844103,0.1107756,0.043399,7.0,0.19101344,0.160491
1,18,Sp020,Sp017,no ll opt_no time,,-1751.80239,nan,7.5e-07,0.043399,7.499999999383e-07,7.5e-07,0.11921588,0.043399,7.0,0.1877976,0.160491
1,19,Sp020,Sp014,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,9.99999993922529e-09,1e-08,0.11921662,0.043399,7.0,0.18779686,0.160491
1,20,Sp020,Sp011,no ll opt_no time,,-1751.80239,nan,0.00314281,0.043399,0.0031428099999999265,0.00314281,0.11607382000000001,0.043399,7.0,0.18236047,0.160491
1,21,Sp020,Sp004,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,9.999999925347502e-09,1e-08,0.11921662000000001,0.043399,7.0,0.17921767,0.160491
