,prune_name,rgft_name,newick
"0,0",N1,subtree1,"((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562);"
"0,1",N1,subtree2,"(Sp020:0.160491,Sp015:0.00195738);"
"0,0",N1,Sp020,"(Sp015:0.00195738,((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562)N1:0.0101008,Sp020:0.0802453)ROOT_LIKE:0;"
"0,1",N1,Sp015,"(Sp020:0.160491,((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562)N1:0.0101008,Sp015:0.00097869)ROOT_LIKE:0;"
"1,0",Sp020,subtree1,Sp020:0.160491;
"1,1",Sp020,subtree2,"(((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562)N1:0.0101008,Sp015:0.00195738);"
"1,0",Sp020,N1,"(Sp015:0.00195738,Sp020:0.160491,((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562)N1:0.00505041)ROOT_LIKE:0;"
"1,1",Sp020,Sp015,"(((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562)N1:0.0101008,Sp020:0.160491,Sp015:0.00097869)ROOT_LIKE:0;"
"1,2",Sp020,N4,"(((((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00862562,Sp020:0.160491,(((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.00259045)N1:0.0101008,Sp015:0.00195738)ROOT_LIKE:0;"
"1,3",Sp020,N5,"(((((((Sp007:1e-08,Sp006:0.00148433)N26:8e-08,Sp008:1e-08)N16:8e-08,(((Sp012:0.043399,Sp001:1e-08)N36:4.2e-07,Sp000:0.00164338)N28:7.4e-07,Sp002:1e-08)N17:5.4e-07)N10:2e-07,((Sp019:1e-08,Sp016:1e-08)N18:0.00505407,Sp013:0.00844103)N11:0.00334179)N6:0.00345792,(Sp018:0.00761997,(Sp017:7.5e-07,Sp014:1e-08)N13:0.012024)N7:1.5e-07)N4:0.0051809,Sp020:0.160491,(((Sp011:0.00314281,Sp004:1e-08)N14:9e-08,((Sp010:1.1e-07,Sp003:1e-08)N24:1e-07,Sp005:1e-08)N15:7e-08)N8:1.5e-07,Sp009:0.00374005)N5:0.00431281)N1:0.0101008,Sp015:0.00195738)ROOT_LIKE:0;"
