orig_ds_tbl,longest_branch,edge_length_prune,tbl_pruned_prune,tbl_remaining_prune,longest_pruned_prune,longest_remaining_prune,edge_length_rgft,tbl_pruned_rgft,tbl_remaining_rgft,longest_pruned_rgft,longest_remaining_rgft,topology_dist_between_rgft,tbl_dist_between_rgft,res_tree_edge_length_rgft
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,0.160491,0.160491,0.02756719,0.160491,0.0187264,3,0.1757727,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,0.00195738,0.00195738,0.18610081,0.00195738,0.160491,3,0.01723908,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,0.00374005,0.18805818,0,0.00374005,0,2,0.01380652,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,7.00E-08,0.18805796,2.30E-07,0.00314281,1.10E-07,3,0.01380667,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,0.00374005,0.00374005,0.18431814,0.00374005,0.160491,3,0.01754657,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,0.18805818,0,0.00314281,0,4,0.01380676,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,0.18805818,0,1.10E-07,0,4,0.01380674,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,0.00314281,0.00314281,0.18491538,0.00314281,0.160491,5,0.01694957,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,1.00E-08,0.18805818,1.00E-08,0.160491,5,0.01380677,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,0.18805818,0,1.10E-07,0,5,0.01380684,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,1.00E-08,0.18805818,1.00E-08,0.160491,5,0.01380675,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.10E-07,1.10E-07,0.18805808,1.10E-07,0.160491,6,0.01380695,0.0051809
0.27970764,0.160491,0.0051809,0.09164942,0.18805821,0.160491,0.160491,1.00E-08,1.00E-08,0.18805818,1.00E-08,0.160491,6,0.01380685,0.0051809
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.160491,0.160491,0.1037076,0.160491,0.043399,4,0.17921741,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00195738,0.00195738,0.2622412,0.00195738,0.160491,4,0.0206838,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.50E-07,0.24455386,0.01964473,0.043399,0.012024,3,0.01380652,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00334179,0.25070348,0.01349512,0.043399,0.00844103,4,0.01726444,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.012024,0.26419783,7.60E-07,0.012024,7.50E-07,4,0.01380667,0.00862562
