,prune_name,rgft_name,time,ll,orig_ds_ll
"0,0",N1,Sp017,0.112,-6042.501811,-6042.49451
"0,1",N1,Sp016,0.103,-6042.501747,-6042.49451
"1,0",Sp017,N1,0.105,-6042.501742,-6042.49451
"1,1",Sp017,Sp016,0.105,-6042.501742,-6042.49451
"1,2",Sp017,N4,no ll opt_no time,,-6042.49451
"1,3",Sp017,Sp015,no ll opt_no time,,-6042.49451
"1,4",Sp017,N6,no ll opt_no time,,-6042.49451
"1,5",Sp017,Sp000,no ll opt_no time,,-6042.49451
"1,6",Sp017,N8,no ll opt_no time,,-6042.49451
"1,7",Sp017,N9,no ll opt_no time,,-6042.49451
"1,8",Sp017,N10,no ll opt_no time,,-6042.49451
"1,9",Sp017,N11,no ll opt_no time,,-6042.49451
"1,10",Sp017,Sp044,no ll opt_no time,,-6042.49451
"1,11",Sp017,N13,no ll opt_no time,,-6042.49451
"1,12",Sp017,N14,no ll opt_no time,,-6042.49451
"1,13",Sp017,N15,no ll opt_no time,,-6042.49451
"1,14",Sp017,Sp003,no ll opt_no time,,-6042.49451
"1,15",Sp017,Sp002,no ll opt_no time,,-6042.49451
"1,16",Sp017,Sp043,no ll opt_no time,,-6042.49451
"1,17",Sp017,Sp041,no ll opt_no time,,-6042.49451
"1,18",Sp017,N20,no ll opt_no time,,-6042.49451
"1,19",Sp017,N21,no ll opt_no time,,-6042.49451
"1,20",Sp017,N22,no ll opt_no time,,-6042.49451
"1,21",Sp017,Sp011,no ll opt_no time,,-6042.49451
"1,22",Sp017,N24,no ll opt_no time,,-6042.49451
"1,23",Sp017,N25,no ll opt_no time,,-6042.49451
"1,24",Sp017,N26,no ll opt_no time,,-6042.49451
"1,25",Sp017,N27,no ll opt_no time,,-6042.49451
"1,26",Sp017,N28,no ll opt_no time,,-6042.49451
"1,27",Sp017,Sp013,no ll opt_no time,,-6042.49451
"1,28",Sp017,N30,no ll opt_no time,,-6042.49451
"1,29",Sp017,N31,no ll opt_no time,,-6042.49451
"1,30",Sp017,Sp033,no ll opt_no time,,-6042.49451
"1,31",Sp017,N33,no ll opt_no time,,-6042.49451
"1,32",Sp017,N34,no ll opt_no time,,-6042.49451
"1,33",Sp017,Sp007,no ll opt_no time,,-6042.49451
"1,34",Sp017,N36,no ll opt_no time,,-6042.49451
"1,35",Sp017,N37,no ll opt_no time,,-6042.49451
"1,36",Sp017,Sp014,no ll opt_no time,,-6042.49451
"1,37",Sp017,Sp012,no ll opt_no time,,-6042.49451
"1,38",Sp017,Sp038,no ll opt_no time,,-6042.49451
"1,39",Sp017,N41,no ll opt_no time,,-6042.49451
"1,40",Sp017,Sp037,no ll opt_no time,,-6042.49451
"1,41",Sp017,Sp035,no ll opt_no time,,-6042.49451
"1,42",Sp017,N44,no ll opt_no time,,-6042.49451
"1,43",Sp017,N45,no ll opt_no time,,-6042.49451
"1,44",Sp017,N46,no ll opt_no time,,-6042.49451
"1,45",Sp017,N47,no ll opt_no time,,-6042.49451
"1,46",Sp017,Sp010,no ll opt_no time,,-6042.49451
"1,47",Sp017,Sp008,no ll opt_no time,,-6042.49451
"1,48",Sp017,N50,no ll opt_no time,,-6042.49451
"1,49",Sp017,Sp001,no ll opt_no time,,-6042.49451
"1,50",Sp017,N52,no ll opt_no time,,-6042.49451
"1,51",Sp017,Sp034,no ll opt_no time,,-6042.49451
"1,52",Sp017,N54,no ll opt_no time,,-6042.49451
"1,53",Sp017,N55,no ll opt_no time,,-6042.49451
"1,54",Sp017,N56,no ll opt_no time,,-6042.49451
"1,55",Sp017,N57,no ll opt_no time,,-6042.49451
"1,56",Sp017,Sp042,no ll opt_no time,,-6042.49451
"1,57",Sp017,N59,no ll opt_no time,,-6042.49451
"1,58",Sp017,Sp006,no ll opt_no time,,-6042.49451
"1,59",Sp017,Sp004,no ll opt_no time,,-6042.49451
"1,60",Sp017,Sp009,no ll opt_no time,,-6042.49451
"1,61",Sp017,Sp005,no ll opt_no time,,-6042.49451
"1,62",Sp017,Sp036,no ll opt_no time,,-6042.49451
"1,63",Sp017,Sp023,no ll opt_no time,,-6042.49451
"1,64",Sp017,N66,no ll opt_no time,,-6042.49451
"1,65",Sp017,Sp028,no ll opt_no time,,-6042.49451
"1,66",Sp017,Sp025,no ll opt_no time,,-6042.49451
"1,67",Sp017,N69,no ll opt_no time,,-6042.49451
"1,68",Sp017,N70,no ll opt_no time,,-6042.49451
"1,69",Sp017,Sp027,no ll opt_no time,,-6042.49451
"1,70",Sp017,N72,no ll opt_no time,,-6042.49451
"1,71",Sp017,Sp026,no ll opt_no time,,-6042.49451
"1,72",Sp017,Sp040,no ll opt_no time,,-6042.49451
"1,73",Sp017,Sp039,no ll opt_no time,,-6042.49451
"1,74",Sp017,Sp032,no ll opt_no time,,-6042.49451
"1,75",Sp017,N77,no ll opt_no time,,-6042.49451
"1,76",Sp017,Sp021,no ll opt_no time,,-6042.49451
"1,77",Sp017,Sp019,no ll opt_no time,,-6042.49451
"1,78",Sp017,Sp031,no ll opt_no time,,-6042.49451
"1,79",Sp017,N81,no ll opt_no time,,-6042.49451
"1,80",Sp017,Sp030,no ll opt_no time,,-6042.49451
"1,81",Sp017,Sp029,no ll opt_no time,,-6042.49451
"1,82",Sp017,Sp024,no ll opt_no time,,-6042.49451
"1,83",Sp017,Sp018,no ll opt_no time,,-6042.49451
"1,84",Sp017,Sp022,no ll opt_no time,,-6042.49451
"1,85",Sp017,Sp020,no ll opt_no time,,-6042.49451
"2,0",Sp016,N1,0.104,-6042.501742,-6042.49451
"2,1",Sp016,Sp017,0.104,-6042.501743,-6042.49451
"2,2",Sp016,N4,no ll opt_no time,,-6042.49451
"2,3",Sp016,Sp015,no ll opt_no time,,-6042.49451
"2,4",Sp016,N6,no ll opt_no time,,-6042.49451
"2,5",Sp016,Sp000,no ll opt_no time,,-6042.49451
"2,6",Sp016,N8,no ll opt_no time,,-6042.49451
"2,7",Sp016,N9,no ll opt_no time,,-6042.49451
"2,8",Sp016,N10,no ll opt_no time,,-6042.49451
"2,9",Sp016,N11,no ll opt_no time,,-6042.49451
"2,10",Sp016,Sp044,no ll opt_no time,,-6042.49451
"2,11",Sp016,N13,no ll opt_no time,,-6042.49451
"2,12",Sp016,N14,no ll opt_no time,,-6042.49451
"2,13",Sp016,N15,no ll opt_no time,,-6042.49451
"2,14",Sp016,Sp003,no ll opt_no time,,-6042.49451
"2,15",Sp016,Sp002,no ll opt_no time,,-6042.49451
"2,16",Sp016,Sp043,no ll opt_no time,,-6042.49451
"2,17",Sp016,Sp041,no ll opt_no time,,-6042.49451
"2,18",Sp016,N20,no ll opt_no time,,-6042.49451
"2,19",Sp016,N21,no ll opt_no time,,-6042.49451
"2,20",Sp016,N22,no ll opt_no time,,-6042.49451
"2,21",Sp016,Sp011,no ll opt_no time,,-6042.49451
"2,22",Sp016,N24,no ll opt_no time,,-6042.49451
"2,23",Sp016,N25,no ll opt_no time,,-6042.49451
"2,24",Sp016,N26,no ll opt_no time,,-6042.49451
"2,25",Sp016,N27,no ll opt_no time,,-6042.49451
"2,26",Sp016,N28,no ll opt_no time,,-6042.49451
"2,27",Sp016,Sp013,no ll opt_no time,,-6042.49451
"2,28",Sp016,N30,no ll opt_no time,,-6042.49451
"2,29",Sp016,N31,no ll opt_no time,,-6042.49451
"2,30",Sp016,Sp033,no ll opt_no time,,-6042.49451
"2,31",Sp016,N33,no ll opt_no time,,-6042.49451
"2,32",Sp016,N34,no ll opt_no time,,-6042.49451
"2,33",Sp016,Sp007,no ll opt_no time,,-6042.49451
"2,34",Sp016,N36,no ll opt_no time,,-6042.49451
"2,35",Sp016,N37,no ll opt_no time,,-6042.49451
"2,36",Sp016,Sp014,no ll opt_no time,,-6042.49451
"2,37",Sp016,Sp012,no ll opt_no time,,-6042.49451
"2,38",Sp016,Sp038,no ll opt_no time,,-6042.49451
"2,39",Sp016,N41,no ll opt_no time,,-6042.49451
"2,40",Sp016,Sp037,no ll opt_no time,,-6042.49451
"2,41",Sp016,Sp035,no ll opt_no time,,-6042.49451
"2,42",Sp016,N44,no ll opt_no time,,-6042.49451
"2,43",Sp016,N45,no ll opt_no time,,-6042.49451
"2,44",Sp016,N46,no ll opt_no time,,-6042.49451
"2,45",Sp016,N47,no ll opt_no time,,-6042.49451
"2,46",Sp016,Sp010,no ll opt_no time,,-6042.49451
"2,47",Sp016,Sp008,no ll opt_no time,,-6042.49451
"2,48",Sp016,N50,no ll opt_no time,,-6042.49451
"2,49",Sp016,Sp001,no ll opt_no time,,-6042.49451
"2,50",Sp016,N52,no ll opt_no time,,-6042.49451
"2,51",Sp016,Sp034,no ll opt_no time,,-6042.49451
"2,52",Sp016,N54,no ll opt_no time,,-6042.49451
"2,53",Sp016,N55,no ll opt_no time,,-6042.49451
"2,54",Sp016,N56,no ll opt_no time,,-6042.49451
"2,55",Sp016,N57,no ll opt_no time,,-6042.49451
"2,56",Sp016,Sp042,no ll opt_no time,,-6042.49451
"2,57",Sp016,N59,no ll opt_no time,,-6042.49451
"2,58",Sp016,Sp006,no ll opt_no time,,-6042.49451
"2,59",Sp016,Sp004,no ll opt_no time,,-6042.49451
"2,60",Sp016,Sp009,no ll opt_no time,,-6042.49451
"2,61",Sp016,Sp005,no ll opt_no time,,-6042.49451
"2,62",Sp016,Sp036,no ll opt_no time,,-6042.49451
"2,63",Sp016,Sp023,no ll opt_no time,,-6042.49451
"2,64",Sp016,N66,no ll opt_no time,,-6042.49451
"2,65",Sp016,Sp028,no ll opt_no time,,-6042.49451
"2,66",Sp016,Sp025,no ll opt_no time,,-6042.49451
"2,67",Sp016,N69,no ll opt_no time,,-6042.49451
"2,68",Sp016,N70,no ll opt_no time,,-6042.49451
"2,69",Sp016,Sp027,no ll opt_no time,,-6042.49451
"2,70",Sp016,N72,no ll opt_no time,,-6042.49451
"2,71",Sp016,Sp026,no ll opt_no time,,-6042.49451
"2,72",Sp016,Sp040,no ll opt_no time,,-6042.49451
"2,73",Sp016,Sp039,no ll opt_no time,,-6042.49451
"2,74",Sp016,Sp032,no ll opt_no time,,-6042.49451
"2,75",Sp016,N77,no ll opt_no time,,-6042.49451
"2,76",Sp016,Sp021,no ll opt_no time,,-6042.49451
"2,77",Sp016,Sp019,no ll opt_no time,,-6042.49451
"2,78",Sp016,Sp031,no ll opt_no time,,-6042.49451
"2,79",Sp016,N81,no ll opt_no time,,-6042.49451
"2,80",Sp016,Sp030,no ll opt_no time,,-6042.49451
"2,81",Sp016,Sp029,no ll opt_no time,,-6042.49451
"2,82",Sp016,Sp024,no ll opt_no time,,-6042.49451
"2,83",Sp016,Sp018,no ll opt_no time,,-6042.49451
"2,84",Sp016,Sp022,no ll opt_no time,,-6042.49451
"2,85",Sp016,Sp020,no ll opt_no time,,-6042.49451
"3,0",N4,Sp017,0.103,-6045.185208,-6042.49451
"3,1",N4,Sp016,0.105,-6045.184866,-6042.49451
"3,2",N4,Sp015,0.112,-6042.501743,-6042.49451
"4,0",Sp015,Sp017,0.114,-6045.184853,-6042.49451
"4,1",Sp015,Sp016,0.106,-6045.185273,-6042.49451
"4,2",Sp015,N4,0.106,-6042.501767,-6042.49451
"4,3",Sp015,N6,0.130,-6235.974214,-6042.49451
"4,4",Sp015,Sp000,0.133,-6235.974027,-6042.49451
"4,5",Sp015,N8,0.108,-6322.252543,-6042.49451
"4,6",Sp015,N9,0.109,-6322.393044,-6042.49451
"4,7",Sp015,N10,0.111,-6323.180181,-6042.49451
"4,8",Sp015,N11,0.107,-6323.161454,-6042.49451
"4,9",Sp015,Sp044,0.111,-6325.314355,-6042.49451
"4,10",Sp015,N13,0.113,-6325.314620,-6042.49451
"4,11",Sp015,N14,0.109,-6323.180555,-6042.49451
"4,12",Sp015,N15,0.110,-6323.180528,-6042.49451
"4,13",Sp015,Sp003,0.108,-6353.979020,-6042.49451
"4,14",Sp015,Sp002,0.113,-6353.711124,-6042.49451
"4,15",Sp015,Sp043,0.111,-6330.355580,-6042.49451
"4,16",Sp015,Sp041,0.110,-6330.355548,-6042.49451
"4,17",Sp015,N20,0.109,-6321.990018,-6042.49451
"4,18",Sp015,N21,0.110,-6322.330462,-6042.49451
"4,19",Sp015,N22,0.111,-6331.228477,-6042.49451
"4,20",Sp015,Sp011,0.110,-6331.056339,-6042.49451
"4,21",Sp015,N24,0.115,-6321.751350,-6042.49451
"4,22",Sp015,N25,0.111,-6321.938215,-6042.49451
"4,23",Sp015,N26,0.110,-6323.890829,-6042.49451
"4,24",Sp015,N27,0.107,-6323.423233,-6042.49451
"4,25",Sp015,N28,0.112,-6343.768335,-6042.49451
"4,26",Sp015,Sp013,0.114,-6343.767902,-6042.49451
"4,27",Sp015,N30,0.110,-6324.165124,-6042.49451
"4,28",Sp015,N31,0.108,-6324.437861,-6042.49451
"4,29",Sp015,Sp033,0.115,-6321.193055,-6042.49451
"4,30",Sp015,N33,0.108,-6322.916639,-6042.49451
"4,31",Sp015,N34,0.114,-6324.107227,-6042.49451
"4,32",Sp015,Sp007,0.108,-6322.627370,-6042.49451
"4,33",Sp015,N36,0.109,-6340.729634,-6042.49451
"4,34",Sp015,N37,0.110,-6340.733130,-6042.49451
"4,35",Sp015,Sp014,0.111,-6350.869332,-6042.49451
"4,36",Sp015,Sp012,0.107,-6351.045834,-6042.49451
"4,37",Sp015,Sp038,0.108,-6327.465939,-6042.49451
"4,38",Sp015,N41,0.106,-6326.439888,-6042.49451
