,prune_name,rgft_name,time,ll,orig_ds_ll
"0,0",N1,Sp001,0.095,-1845.176891,-1845.17013
"0,1",N1,Sp000,0.107,-1845.176891,-1845.17013
"1,0",Sp001,N1,0.098,-1845.176891,-1845.17013
"1,1",Sp001,Sp000,0.100,-1845.176891,-1845.17013
"1,2",Sp001,N4,no ll opt_no time,,-1845.17013
"1,3",Sp001,Sp010,no ll opt_no time,,-1845.17013
"1,4",Sp001,N6,no ll opt_no time,,-1845.17013
"1,5",Sp001,N7,no ll opt_no time,,-1845.17013
"1,6",Sp001,N8,no ll opt_no time,,-1845.17013
"1,7",Sp001,N9,no ll opt_no time,,-1845.17013
"1,8",Sp001,Sp003,no ll opt_no time,,-1845.17013
"1,9",Sp001,Sp002,no ll opt_no time,,-1845.17013
"1,10",Sp001,N12,no ll opt_no time,,-1845.17013
"1,11",Sp001,N13,no ll opt_no time,,-1845.17013
"1,12",Sp001,N14,no ll opt_no time,,-1845.17013
"1,13",Sp001,Sp008,no ll opt_no time,,-1845.17013
"1,14",Sp001,N16,no ll opt_no time,,-1845.17013
"1,15",Sp001,N17,no ll opt_no time,,-1845.17013
"1,16",Sp001,Sp028,no ll opt_no time,,-1845.17013
"1,17",Sp001,N19,no ll opt_no time,,-1845.17013
"1,18",Sp001,N20,no ll opt_no time,,-1845.17013
"1,19",Sp001,Sp005,no ll opt_no time,,-1845.17013
"1,20",Sp001,N22,no ll opt_no time,,-1845.17013
"1,21",Sp001,N23,no ll opt_no time,,-1845.17013
"1,22",Sp001,Sp026,no ll opt_no time,,-1845.17013
"1,23",Sp001,Sp024,no ll opt_no time,,-1845.17013
"1,24",Sp001,N26,no ll opt_no time,,-1845.17013
"1,25",Sp001,Sp017,no ll opt_no time,,-1845.17013
"1,26",Sp001,Sp009,no ll opt_no time,,-1845.17013
"1,27",Sp001,N29,no ll opt_no time,,-1845.17013
"1,28",Sp001,N30,no ll opt_no time,,-1845.17013
"1,29",Sp001,N31,no ll opt_no time,,-1845.17013
"1,30",Sp001,Sp025,no ll opt_no time,,-1845.17013
"1,31",Sp001,Sp018,no ll opt_no time,,-1845.17013
"1,32",Sp001,Sp023,no ll opt_no time,,-1845.17013
"1,33",Sp001,Sp016,no ll opt_no time,,-1845.17013
"1,34",Sp001,N36,no ll opt_no time,,-1845.17013
"1,35",Sp001,Sp006,no ll opt_no time,,-1845.17013
"1,36",Sp001,N38,no ll opt_no time,,-1845.17013
"1,37",Sp001,N39,no ll opt_no time,,-1845.17013
"1,38",Sp001,N40,no ll opt_no time,,-1845.17013
"1,39",Sp001,N41,no ll opt_no time,,-1845.17013
"1,40",Sp001,Sp007,no ll opt_no time,,-1845.17013
"1,41",Sp001,Sp004,no ll opt_no time,,-1845.17013
